centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,zcr_mean,zcr_std,mfcc_m1,mfcc_m2,mfcc_m3,mfcc_m4,mfcc_m5,mfcc_m6,mfcc_m7,mfcc_m8,mfcc_m9,mfcc_m10,mfcc_m11,mfcc_m12,mfcc_m13,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,technique
2317.360535,628.5285765,5737.469269,2375.9671,0.002408134,0.00527234,0.090169271,0.025394016,-597.7705688,91.1567688,-10.63056946,3.371948242,-9.663419724,4.205315113,13.25987625,14.16225052,4.947492123,-10.92933559,-15.64571095,-12.67177105,-5.002481461,148.6465607,18.75000191,27.15920448,29.75691605,11.42753601,8.186810493,12.3808794,5.733587265,6.918291092,8.123762131,8.532377243,5.652170181,3.790702581,1
2418.189399,696.3090224,5977.496722,2419.153345,0.002492869,0.005417915,0.095553928,0.026101062,-597.6608887,91.00141907,-9.601517677,7.24113369,-4.286180973,6.463160992,10.97564316,12.67730618,7.868061543,-7.579195023,-13.76900291,-10.99127579,-3.049334764,148.5033569,19.74206161,28.05920029,29.04254532,13.8133831,6.935826778,12.1708498,6.798326969,7.577981949,9.137573242,8.217202187,4.326918125,3.185960054,1
2266.377312,715.2935851,5539.303568,2449.947527,0.003351489,0.007051148,0.089531793,0.036805481,-556.8596191,78.28928375,-10.13367748,5.512317181,-9.867930412,4.273097515,7.872156143,11.24077702,2.143004417,-10.45545578,-16.06582451,-11.41353989,-7.317576885,144.4812317,21.62358284,25.68535042,28.73889732,11.63576698,7.1641922,11.45812893,5.677661896,5.958230972,6.834863663,8.181903839,5.721933842,4.423550606,1
2095.753603,518.9239733,5093.882485,2175.208506,0.00378469,0.007942617,0.076199002,0.031429821,-547.8671875,75.50325012,-16.35608101,-0.073726229,-11.8169117,5.63609314,9.745334625,13.21665001,3.02538228,-12.01939106,-21.76537514,-16.99299049,-6.165096283,145.2048645,23.45277023,23.40450096,31.03714561,11.92679882,7.298699379,12.14795208,6.902044296,6.814654827,6.496100903,6.869652271,4.572596073,3.805577278,1
1996.755942,394.6559106,4600.576377,1718.814499,0.003886419,0.007637114,0.076266819,0.02465614,-535.3581543,76.40576172,-18.55303192,0.642116845,-10.95314312,9.870194435,12.86194324,10.37492847,-2.301463842,-15.98559952,-21.17917824,-14.51946831,-5.454712868,142.0085144,21.26539803,22.30726624,30.31436348,9.150489807,6.544787407,12.53452015,7.541386604,5.272890091,4.500426292,5.584371567,4.014264584,4.855262756,1
2300.195119,714.3287208,5580.864155,2460.705282,0.003431014,0.00727581,0.09507921,0.043671627,-558.5179443,76.1585083,-12.28455544,1.064104676,-13.82662582,3.274009705,7.737637997,10.00510406,-0.319258869,-11.79262066,-17.12534332,-11.96263885,-4.911759377,145.725769,23.81495667,22.6035347,31.04632378,11.37288666,7.174117088,9.932055473,5.51874876,6.180007458,6.289321423,7.945422173,4.883769035,3.136749506,1
3069.343066,1207.262026,7074.554443,2542.581172,0.000604811,0.000922776,0.102037218,0.060251423,-699.2852783,74.7305603,15.34353828,12.65459538,12.22234344,5.885776043,19.39052391,12.23131466,6.783876419,-12.36841297,-19.46789169,-19.37502098,-12.36353397,113.9223099,16.25649834,31.11149979,28.70924568,9.17424202,5.328813076,7.082936764,5.782538414,4.459868431,5.678831577,3.886348248,3.926015139,2.827211618,1
3152.829869,1231.618585,7209.890625,2555.679165,0.000477307,0.00064372,0.113975123,0.064142884,-713.0812378,73.40934753,19.53482628,8.288525581,10.73127937,5.186441898,22.42078972,14.44959641,7.12968111,-12.8559618,-19.37934685,-18.31635094,-11.34006023,107.8687363,17.13500595,31.57026291,25.50551414,8.871185303,5.256159306,8.129434586,7.776451588,5.218948364,6.384595871,5.011045933,4.221119404,3.787928343,1
3029.724878,1151.774258,6997.857461,2518.762112,0.000574324,0.000905264,0.110724198,0.059983271,-698.0866089,76.30207062,13.392272,8.444169998,6.431463718,3.983217001,23.30544472,14.85540295,7.624128819,-11.69657135,-16.92655945,-17.5840683,-11.03823757,110.4938736,14.88989735,30.58407021,27.18075943,9.347589493,6.174482346,6.789634228,7.95655632,6.019125462,6.853320122,4.012843132,4.754283905,3.412042618,1
3198.67327,1256.576806,7231.687815,2548.28026,0.000503999,0.000754733,0.112972862,0.072612374,-708.6082153,73.89653015,17.46770668,8.179747581,10.03001118,5.554244995,23.19342041,15.18136787,9.267204285,-9.997241974,-17.01769638,-15.59005547,-8.839848518,108.415802,15.93252659,31.12569237,25.84351921,8.237146378,6.590819836,8.122367859,7.352349281,5.708407879,7.002510071,4.682089329,4.882284164,3.365185499,1
